date,campaign_id,channel,age_group,ad_spend,views,leads,new_accounts,country,revenue
1698537600,October_2023_1,Instagram Ads,55-64,272,9845.217391304346,196.90434782608693,39.38086956521739,Singapore,443.47826086956513
1698537600,October_2023_1,Instagram Ads,55-64,232,8397.391304347824,167.9478260869565,33.5895652173913,Malaysia,378.2608695652174
1698537600,October_2023_1,Instagram Ads,55-64,226,8180.217391304347,163.60434782608695,32.72086956521739,Indonesia,368.4782608695652
1698537600,October_2023_1,Instagram Ads,55-64,110,3981.5217391304345,79.63043478260869,15.926086956521738,Thailand,179.3478260869565
1698537600,October_2023_1,Instagram Ads,55-64,148,5356.956521739129,107.1391304347826,21.42782608695652,Vietnam,241.3043478260869
1698537600,October_2023_1,Instagram Ads,55-64,908,32865.65217391304,657.3130434782609,131.46260869565216,Philippines,1480.4347826086955
1698537600,October_2023_1,Instagram Ads,55-64,453,16396.630434782608,327.93260869565216,65.58652173913043,Myanmar,738.5869565217391
1698537600,October_2023_1,Instagram Ads,55-64,430,15564.130434782606,311.28260869565213,62.25652173913043,Cambodia,701.0869565217391
1698537600,October_2023_1,Instagram Ads,55-64,556,20124.78260869565,402.49565217391296,80.4991304347826,Laos,906.5217391304348
1698537600,October_2023_1,Instagram Ads,65+,430,15564.130434782606,311.28260869565213,62.25652173913043,Singapore,701.0869565217391
1698537600,October_2023_1,Instagram Ads,65+,873,31598.804347826084,631.9760869565217,126.39521739130436,Malaysia,1423.3695652173913
1698537600,October_2023_1,Instagram Ads,65+,139,5031.195652173912,100.62391304347824,20.12478260869565,Indonesia,226.6304347826087
1698537600,October_2023_1,Instagram Ads,65+,885,32033.15217391304,640.6630434782609,128.13260869565218,Thailand,1442.9347826086955
1698537600,October_2023_1,Instagram Ads,65+,777,28124.02173913043,562.4804347826085,112.49608695652172,Vietnam,1266.8478260869565
1698537600,October_2023_1,Instagram Ads,65+,795,28775.543478260865,575.5108695652173,115.10217391304346,Philippines,1296.195652173913
1698537600,October_2023_1,Instagram Ads,65+,889,32177.93478260869,643.5586956521738,128.71173913043478,Myanmar,1449.4565217391305
1698537600,October_2023_1,Instagram Ads,65+,444,16070.869565217388,321.41739130434775,64.28347826086956,Cambodia,723.9130434782608
1698537600,October_2023_1,Instagram Ads,65+,735,26603.804347826084,532.0760869565217,106.41521739130437,Laos,1198.3695652173913
1698537600,October_2023_1,Email,18-24,167,,,,Singapore,
1698537600,October_2023_1,Email,18-24,464,,,,Malaysia,
1698537600,October_2023_1,Email,18-24,291,,,,Indonesia,
1698537600,October_2023_1,Email,18-24,605,,,,Thailand,
1698537600,October_2023_1,Email,18-24,995,,,,Vietnam,
1698537600,October_2023_1,Email,18-24,980,,,,Philippines,
1698537600,October_2023_1,Email,18-24,663,,,,Myanmar,
1698537600,October_2023_1,Email,18-24,822,,,,Cambodia,
1698537600,October_2023_1,Email,18-24,864,,,,Laos,
1698537600,October_2023_1,Email,25-34,479,,,,Singapore,
1698537600,October_2023_1,Email,25-34,292,,,,Malaysia,
1698537600,October_2023_1,Email,25-34,254,,,,Indonesia,
1698537600,October_2023_1,Email,25-34,966,,,,Thailand,
1698537600,October_2023_1,Email,25-34,262,,,,Vietnam,
1698537600,October_2023_1,Email,25-34,255,,,,Philippines,
1698537600,October_2023_1,Email,25-34,783,,,,Myanmar,
1698537600,October_2023_1,Email,25-34,929,,,,Cambodia,
1698537600,October_2023_1,Email,25-34,240,,,,Laos,
1698537600,October_2023_1,Email,35-44,149,,,,Singapore,
1698537600,October_2023_1,Email,35-44,392,,,,Malaysia,
1698537600,October_2023_1,Email,35-44,933,,,,Indonesia,
1698537600,October_2023_1,Email,35-44,317,,,,Thailand,
1698537600,October_2023_1,Email,35-44,808,,,,Vietnam,
1698537600,October_2023_1,Email,35-44,748,,,,Philippines,
1698537600,October_2023_1,Email,35-44,105,,,,Myanmar,
1698537600,October_2023_1,Email,35-44,803,,,,Cambodia,
1698537600,October_2023_1,Email,35-44,825,,,,Laos,
1698537600,October_2023_1,Email,45-54,909,,,,Singapore,
1698537600,October_2023_1,Email,45-54,857,,,,Malaysia,
1698537600,October_2023_1,Email,45-54,733,,,,Indonesia,
1698537600,October_2023_1,Email,45-54,541,,,,Thailand,
1698537600,October_2023_1,Email,45-54,942,,,,Vietnam,
1698537600,October_2023_1,Email,45-54,913,,,,Philippines,
1698537600,October_2023_1,Email,45-54,800,,,,Myanmar,
1698537600,October_2023_1,Email,45-54,521,,,,Cambodia,
1698537600,October_2023_1,Email,45-54,980,,,,Laos,
1698537600,October_2023_1,Email,55-64,323,,,,Singapore,
1698537600,October_2023_1,Email,55-64,745,,,,Malaysia,
1698537600,October_2023_1,Email,55-64,605,,,,Indonesia,
1698537600,October_2023_1,Email,55-64,585,,,,Thailand,
1698537600,October_2023_1,Email,55-64,339,,,,Vietnam,
1698537600,October_2023_1,Email,55-64,980,,,,Philippines,
1698537600,October_2023_1,Email,55-64,260,,,,Myanmar,
1698537600,October_2023_1,Email,55-64,493,,,,Cambodia,
1698537600,October_2023_1,Email,55-64,443,,,,Laos,
1698537600,October_2023_1,Email,65+,189,,,,Singapore,
1698537600,October_2023_1,Email,65+,924,,,,Malaysia,
1698537600,October_2023_1,Email,65+,289,,,,Indonesia,
1698537600,October_2023_1,Email,65+,241,,,,Thailand,
1698537600,October_2023_1,Email,65+,703,,,,Vietnam,
1698537600,October_2023_1,Email,65+,957,,,,Philippines,
1698537600,October_2023_1,Email,65+,620,,,,Myanmar,
1698537600,October_2023_1,Email,65+,392,,,,Cambodia,
1698537600,October_2023_1,Email,65+,100,,,,Laos,
1698537600,October_2023_1,LinkedIn,18-24,902,32648.47826086956,652.9695652173913,130.59391304347827,Singapore,1470.6521739130435
1698537600,October_2023_1,LinkedIn,18-24,413,14948.804347826086,298.9760869565217,59.79521739130435,Malaysia,673.3695652173913
1698537600,October_2023_1,LinkedIn,18-24,467,16903.36956521739,338.0673913043478,67.61347826086956,Indonesia,761.4130434782608
1698537600,October_2023_1,LinkedIn,18-24,672,24323.478260869564,486.4695652173913,97.29391304347826,Thailand,1095.6521739130435
1698537600,October_2023_1,LinkedIn,18-24,185,6696.195652173912,133.92391304347825,26.78478260869565,Vietnam,301.6304347826087
1698537600,October_2023_1,LinkedIn,18-24,665,24070.10869565217,481.4021739130434,96.2804347826087,Philippines,1084.2391304347825
1698537600,October_2023_1,LinkedIn,18-24,350,12668.478260869564,253.36956521739128,50.67391304347826,Myanmar,570.6521739130435
1698537600,October_2023_1,LinkedIn,18-24,858,31055.86956521739,621.1173913043477,124.22347826086956,Cambodia,1398.9130434782608
1698537600,October_2023_1,LinkedIn,18-24,492,17808.260869565216,356.16521739130434,71.23304347826087,Laos,802.1739130434783
1698537600,October_2023_1,LinkedIn,25-34,111,4017.717391304347,80.35434782608694,16.07086956521739,Singapore,180.9782608695652
1698537600,October_2023_1,LinkedIn,25-34,251,9085.108695652174,181.70217391304348,36.340434782608696,Malaysia,409.2391304347826
1698537600,October_2023_1,LinkedIn,25-34,393,14224.891304347824,284.4978260869565,56.8995652173913,Indonesia,640.7608695652174
1698537600,October_2023_1,LinkedIn,25-34,292,10569.130434782606,211.38260869565207,42.27652173913043,Thailand,476.0869565217391
1698537600,October_2023_1,LinkedIn,25-34,300,10858.695652173912,217.17391304347825,43.434782608695656,Vietnam,489.1304347826087
1698537600,October_2023_1,LinkedIn,25-34,970,35109.78260869565,702.195652173913,140.4391304347826,Philippines,1581.5217391304348
1698537600,October_2023_1,LinkedIn,25-34,578,20921.086956521736,418.42173913043473,83.68434782608695,Myanmar,942.391304347826
1698537600,October_2023_1,LinkedIn,25-34,817,29571.847826086952,591.436956521739,118.2873913043478,Cambodia,1332.0652173913045
1698537600,October_2023_1,LinkedIn,25-34,878,31779.78260869565,635.595652173913,127.1191304347826,Laos,1431.5217391304348
1698537600,October_2023_1,LinkedIn,35-44,944,34168.695652173905,683.3739130434781,136.6747826086956,Singapore,1539.1304347826083
1698537600,October_2023_1,LinkedIn,35-44,252,9121.304347826086,182.4260869565217,36.485217391304346,Malaysia,410.8695652173913
1698537600,October_2023_1,LinkedIn,35-44,213,7709.673913043477,154.19347826086954,30.83869565217391,Indonesia,347.2826086956522
1698537600,October_2023_1,LinkedIn,35-44,725,26241.847826086952,524.836956521739,104.9673913043478,Thailand,1182.0652173913045
1698537600,October_2023_1,LinkedIn,35-44,919,33263.80434782609,665.2760869565218,133.05521739130435,Vietnam,1498.3695652173913
1698537600,October_2023_1,LinkedIn,35-44,855,30947.28260869565,618.945652173913,123.7891304347826,Philippines,1394.0217391304348
1698537600,October_2023_1,LinkedIn,35-44,468,16939.5652173913,338.79130434782604,67.7582608695652,Myanmar,763.0434782608695
1698537600,October_2023_1,LinkedIn,35-44,380,13754.347826086956,275.0869565217391,55.01739130434783,Cambodia,619.5652173913044
1698537600,October_2023_1,LinkedIn,35-44,387,14007.717391304346,280.1543478260869,56.03086956521739,Laos,630.9782608695651
1698537600,October_2023_1,LinkedIn,45-54,785,28413.586956521736,568.2717391304348,113.65434782608696,Singapore,1279.891304347826
1698537600,October_2023_1,LinkedIn,45-54,791,28630.76086956521,572.6152173913042,114.52304347826085,Malaysia,1289.6739130434785
1698537600,October_2023_1,LinkedIn,45-54,784,28377.391304347824,567.5478260869565,113.50956521739133,Indonesia,1278.2608695652175
1698537600,October_2023_1,LinkedIn,45-54,913,33046.6304347826,660.932608695652,132.1865217391304,Thailand,1488.586956521739
1698537600,October_2023_1,LinkedIn,45-54,106,3836.7391304347834,76.73478260869565,15.34695652173913,Vietnam,172.82608695652175
1698537600,October_2023_1,LinkedIn,45-54,639,23129.021739130432,462.5804347826087,92.51608695652176,Philippines,1041.8478260869565
1698537600,October_2023_1,LinkedIn,45-54,480,17373.91304347826,347.4782608695652,69.49565217391304,Myanmar,782.608695652174
1698537600,October_2023_1,LinkedIn,45-54,422,15274.565217391302,305.49130434782603,61.09826086956521,Cambodia,688.0434782608695
1698537600,October_2023_1,LinkedIn,45-54,782,28305.0,566.0999999999999,113.21999999999998,Laos,1275.0
1698537600,October_2023_1,LinkedIn,55-64,607,21970.76086956521,439.4152173913043,87.88304347826086,Singapore,989.6739130434784
1698537600,October_2023_1,LinkedIn,55-64,470,17011.95652173913,340.23913043478257,68.04782608695652,Malaysia,766.3043478260869
1698537600,October_2023_1,LinkedIn,55-64,494,17880.65217391304,357.6130434782608,71.52260869565217,Indonesia,805.4347826086955
1698537600,October_2023_1,LinkedIn,55-64,936,33879.1304347826,677.5826086956521,135.5165217391304,Thailand,1526.086956521739
1698537600,October_2023_1,LinkedIn,55-64,325,11763.586956521738,235.27173913043475,47.05434782608695,Vietnam,529.891304347826
1698537600,October_2023_1,LinkedIn,55-64,733,26531.41304347826,530.6282608695652,106.12565217391304,Philippines,1195.108695652174
1698537600,October_2023_1,LinkedIn,55-64,118,4271.086956521738,85.42173913043476,17.08434782608695,Myanmar,192.3913043478261
1698537600,October_2023_1,LinkedIn,55-64,444,16070.869565217388,321.41739130434775,64.28347826086956,Cambodia,723.9130434782608
1698537600,October_2023_1,LinkedIn,55-64,187,6768.586956521738,135.37173913043478,27.07434782608696,Laos,304.89130434782606
1698537600,October_2023_1,LinkedIn,65+,133,4814.021739130434,96.28043478260868,19.256086956521735,Singapore,216.8478260869565
1698537600,October_2023_1,LinkedIn,65+,871,31526.41304347826,630.5282608695652,126.10565217391304,Malaysia,1420.108695652174
1698537600,October_2023_1,LinkedIn,65+,478,17301.521739130436,346.0304347826087,69.20608695652174,Indonesia,779.3478260869565
1698537600,October_2023_1,LinkedIn,65+,333,12053.152173913042,241.06304347826085,48.21260869565217,Thailand,542.9347826086956
1698537600,October_2023_1,LinkedIn,65+,990,35833.695652173905,716.6739130434781,143.33478260869563,Vietnam,1614.1304347826083
1698537600,October_2023_1,LinkedIn,65+,565,20450.543478260865,409.0108695652173,81.80217391304348,Philippines,921.195652173913
1698537600,October_2023_1,LinkedIn,65+,633,22911.847826086952,458.2369565217391,91.64739130434782,Myanmar,1032.0652173913045
1698537600,October_2023_1,LinkedIn,65+,178,6442.826086956521,128.8565217391304,25.771304347826085,Cambodia,290.2173913043478
